0.31,1.323,0.647
0.3115,1.246,0.586
0.3139,1.149,0.54
0.3155,1.044,0.514
0.3179,0.932,0.504
0.3195,0.815,0.526
0.322,0.708,0.565
0.3237,0.616,0.609
0.3263,0.526,0.663
0.3306,0.371,0.813
0.3324,0.321,0.902
0.3351,0.294,0.986
0.3397,0.259,1.12
0.3444,0.238,1.24
0.3542,0.209,1.44
0.3647,0.186,1.61
0.3757,0.2,1.67
0.3875,0.192,1.81
0.4,0.173,1.95
0.4133,0.173,2.11
0.4275,0.16,2.26
0.4428,0.157,2.4
0.4592,0.144,2.56
0.4769,0.132,2.72
0.4959,0.13,2.88
0.5166,0.13,3.07
0.5391,0.129,3.25
0.5636,0.12,3.45
0.5904,0.121,3.66
0.6199,0.131,3.88
0.6526,0.14,4.15
0.6888,0.14,4.44
